OccurrenceID,GUID,Herbarium,Collection,Dataset,Accession,Catalog,Barcode,Other Catalog Numbers,Information Withheld,Basis of Record,Family,Accepted Name,Scientific Name,Notho Genus,Genus,Notho Species,Specific Epithet,Specific Authors,Infraspecific Rank,Notho Infraspecies,Infraspecific Epithet,Infraspecific Authors,Hybrid Symbol,2nd Notho Genus,2nd Genus,2nd Notho Species,2nd Specific Epithet,2nd Specific Authors,2nd Infraspecific Rank,2nd Notho Infraspecies,2nd Infraspecific Epithet,2nd Infraspecific Authors,Cultivar,Name Qualifier,Qualifier Position,Type Specimen?,Type Status,Specimen Notes,Phenology,Origin,Cultivated?,Imaged?,Site Number,Collector,Collector Number,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,Country,State or Province,County,Locality,Site Description,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Valid LatLng,Geodetic Datum,Coordinate Uncertainty in Meters,Georeferenced By,Georeference Sources,Georeference Remarks,,,,,,,,,,,,,,,
2801418,23792667-0460-4321-b5e8-22e81cc5ebad,WTU,Vascular Plants,,431822,,WTU-V-095544,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,"Plants much-branched at base, the stems spreading to erect; leaves once-pinnate to weakly bipinnate; flowers pink; plants scattered in scree.  This form has been called C. ramosa; plants are growing mixed with more typical C. douglasii (Legler 2776).",Flowers and Fruits,,N,Y,BSL-0420,Ben Legler,2775,,11,6,2005,,U.S.A.,Washington,Chelan,"Along Forest Service Road 7224 0.5 road miles from junction with hwy 97, on southwest side of Tronson Ridge.",Loose scree and soil above road in dry conifer forest.,3275 ft.,998,,47° 22' 54 N,"  120° 35' 21"" W""",47.381667,-120.589167,Y,NAD 27,100,,GPS,,,,,,,,,,,,,,,
155818,1a4298b0-48c5-4911-b615-d1dfda30f1a2,WTU,Vascular Plants,,364399,,WTU-V-079814,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Fruits,Native,N,Y,,Florence Caplow,200407,,10,6,2004,,U.S.A.,Washington,Chelan,Tumwater Mountain above Joland Lake.,"Steep, loose granitic sand over bedrock.",2200 ft.,671,,47° 37' 39 N,"  120° 43' 21"" W""",47.6275,-120.7225,Y,,200,,,,,,,,,,,,,,,,,
4253242,{578C38F9-4B83-4B8A-B958-0BFE07A45B31},OSC,V,,,,,OSC216248,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=1009802.,flowering,,N,N,,Darryl Ianni,s.n.,Daryl Ianni,23,7,2001,,United States,Washington,Kittitas,"Wenatchee National Forest, Naches Ranger District: From Hwy 410, take the little Naches River Rd (FR 19) to FR 1905, 1905-763, 1905-764 to pull-out at apex after 5.1 miles on 764. Walk a little over 1/2 mile to site on ridge.","Very steep lithosol over bedrock; soil is gravelly sand, 1-3"" deep", rhyolite/tephra bedrock. 5-75% slope, aspect 140-220º. Monardella odoratissima, Eriogonum compositum var. compositum, Happlopappus, Phacelia hastata, Phoenicaulis cheiranthoides, Penstemon davidsonii, Sedum oreganum, Sedum lanceolatum, Pseudotsuga menziesii, Pinus ponderosa, Arctostaphylos nevadensis, Eriophyllum lanatum, Sitanion hystrix," Pinus albicaulis""",4700 ft.,1433,,,47.105225,-121.184771,Y,NAD83,,[automated process-OregonFlora/OSU Herb],"OrlookId: 122834, StateProvince: Washington, County: Kittitas, LocName: 19N 13E 26",OregonFlora 1994-2020 methodology.
17863,4ed3b8cb-d145-4a9c-9bf7-68a894893d2c,WTU,Vascular Plants,,319043,,WTU-V-079813,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers & Fruits,Native,N,Y,,A. R. Kruckeberg,6692,,7,8,1986,,U.S.A.,Washington,Kittitas,"Long's Pass/Ingall's Lake trail, Upper North Fork Teanaway River area.",Upper west-facing slopes on serpentine.,,,,,47.452208,-120.935462,Y,WGS 84,800,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
4272694,{5FC7F4BF-5222-4CA5-96B1-F79331862D9B},OSC,V,,,,,OSC190389,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=1032366.,flowering,,N,N,,Arthur R. Kruckeberg,6692,A.R. Kruckeberg,7,8,1986,,United States,Washington,Kittitas,Upper N. Fork Teanaway River area; Long's Pass/Ingall's Lake trail.,Upper w-facing slopes on serpentine.,,,,,,,,,,,,,,,,,,,,,,,,,,,
4275235,{5E3F3F84-353B-4395-A91B-4AA57E1D0537},OSC,V,,,,,OSC179117,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=1035208.,flowering,,N,N,,Arthur R. Kruckeberg,6692,A.R. Kruckeberg,7,8,1986,,United States,Washington,Kittitas,Upper N. Fork Teanaway R. area; Long's Pass/Ingall's Lake trail.,Upper w-facing slopes on serpentine.,,,,,,,,,,,,,,,,,,,,,,,,,,,
146813,91d92313-8b27-4766-8853-e8e2f1e26b91,WTU,Vascular Plants,,286962,,WTU-V-079810,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,Native,N,Y,,Patrick Elvander,1003,,26,7,1980,,U.S.A.,Washington,Kittitas,Above the Beverly-Turnpike trail about 3-4 km from Beverly Creek; Wenatchee Mountains.,Steep west serpentine talus slope 100-300m.,,,,T22N R15E S7,47.4114,-120.87039,Y,WGS 84,5000,Jim Duemmel,Digital Map,Very difficult to match TRS with Locality description.,,,,,,,,,,,,,,,
146820,02db7e51-c0ff-4ea9-9402-8cdd2885d835,WTU,Vascular Plants,,286963,,WTU-V-079812,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,Native,N,Y,,Patrick Elvander,1006,,27,7,1980,,U.S.A.,Washington,Kittitas,"Wenatchee Mountains; just northeast of DeRoux horse camp along the north Fork Teanaway River, about 48 km north of Cle Elum.",Very steep west slope. Serpentine-peridotite talus with Eriogonum compositum.,,,,,47.41766,-120.93666,Y,WGS 84,500,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146828,c9791609-1905-41be-832d-180cc0f1946b,WTU,Vascular Plants,,313387,,WTU-V-079811,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,N=6.,Flowers,Native,N,Y,,A. R. Kruckeberg,5790,,6,7,1964,,U.S.A.,Washington,Kittitas,"Bordering Eldorado Creek, above De Roux Forest Camp and North Fork Teanaway River.",On barren serpentine talus.,,,,,47.415137,-120.935713,Y,WGS 84,3000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146809,f06eb1ff-a105-49c3-92a6-8b16a42d5c92,WTU,Vascular Plants,,190349,,WTU-V-079809,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,Native,N,Y,,A. R. Kruckeberg,3937,,14,8,1955,,U.S.A.,Washington,Kittitas,"De Roux Forest Camp, upper north fork Teanaway River, Wenatchee National Forest. Above camp.","On steep sterile, barren serpentinized slopes.",,,,,47.417428,-120.937862,Y,WGS 84,1000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
4260345,{068DA4D7-55D8-41BB-92DE-7B8020B25C4B},OSC,V,,,,,OSC88396,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=1018078.,flowering,,N,N,,Arthur R. Kruckeberg,3228,A.R. Kruckeberg,19,8,1952,,United States,Washington,Kittitas,"Just north and below Mt. Lilian, along trail to summit; Wenatchee Mts.",On high rocky promontory of sedimentary soil.,,,,,,,,,,,,,,,,,,,,,,,,,,,
17862,81de9885-8c20-42fc-83db-181427603c5f,WTU,Vascular Plants,,144687,,WTU-V-079815,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers & Fruits,Native,N,Y,,J. William Thompson,s.n.,,,8,1951,,U.S.A.,Washington,Chelan,"High ridge between Fourth and Hardscrabble Creeks, Wenatchee Mountains.",Hawkins formation.,6000 ft.,1829,,,47.429451,-120.857094,Y,WGS 84,1000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146817,b7c35df1-3f2b-486d-92f0-c0ffbd9a96b8,WTU,Vascular Plants,,144686,,WTU-V-079808,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,ined.,an,N,,,Flowers,Native,N,Y,,J. William Thompson,s.n.,,,7,1950,,U.S.A.,Washington,Kittitas,At the head of Beverly Creek. Wenatchee National Forest.,"High ridge, growing in slick and slide serpentine, at exact spot.",5500 ft.,1677,,,47.414405,-120.884055,Y,WGS 84,1000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146854,2736edc4-e3ab-46ef-be96-52a7c3e2305f,WTU,Vascular Plants,,180918,,WTU-V-065509,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,A. R. Kruckeberg,2558,,6,8,1950,,U.S.A.,Washington,Kittitas,"Along Iron Peak Trail, North Fork Teanaway River Watershed, Wenatchee Mountains.",On sterile serpentine slope.,,,,,47.42108,-120.92147,Y,WGS 84,1200,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146857,0f6d97ae-30ad-4380-872e-2e00038f9a48,WTU,Vascular Plants,,181884,,WTU-V-065508,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,A. R. Kruckeberg,2551,,5,8,1950,,U.S.A.,Washington,Kittitas,Above Eldorado Creek.,"On sterile, barren steep. Hillside with stunted douglas fir, yellow pine.",,,,,47.413046,-120.936314,Y,WGS 84,5000,WTU Staff,GeoLocate,,,,,,,,,,,,,,,,
4070721,779435ab-1b39-420d-bdb6-886d17516723,WS,,,,199385,,WS015082,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30855448.,Flowering,,N,Y,,A.R. Kruckeberg,2558,,6,8,1950,,United States,Washington,Kittitas,"Along Iron Peak Trail, North Fork Teanaway River Watershed, Wenatchee Mountains.",On sterile serpentine slope.,,,,,47.413564,-120.917335,Y,WGS84,,Fertig,,,,,,,,,,,,,,,,,
146840,534ca43e-2811-414f-926a-93570f572f39,WTU,Vascular Plants,,34286,,WTU-V-001342,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,Y,Cotype,,Flowers,,N,N,,J. William Thompson,12615,,19,8,1935,,U.S.A.,Washington,Chelan,Three Brothers Peak.,Alpine slopes.,7000 ft.,2134,,,47.434033,-120.757258,Y,WGS 84,2000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146848,0c329f0a-401b-42e7-8781-137838bf97a7,WTU,Vascular Plants,,600JWT,,WTU-V-001341,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,Y,Cotype,Co-type. J.W.T.,Flowers,Native,N,Y,,J. William Thompson,12615,,19,8,1935,,U.S.A.,Washington,Chelan,Three Brothers Peak.,Alpine slopes.,7000 ft.,2134,,,47.434033,-120.757258,Y,WGS 84,2000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
751197,,NY,Vascular Plants,,,,163293,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,Y,isotype,Isotype.,,N,N,N,,J. W. Thompson,,,19,8,1935,19-Aug-35,U.S.A.,Washington,Chelan,Alpine slopes of the Three Brothers Peak.,,2134 m.,2134,2134,"47.430830°, -120.758610°",47.43083,-120.75861,Y,,,,,,,,,,,,,,,,,,,,
4042007,afe3651f-1f7e-47cd-8853-62a2f842e451,WS,,,,77021,,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,"Var. mainsiana (Nels. & Macbr.) Stockwell (in pen) original label: Chaenactis nevadensis (Kell.) A. Gray; Vascular Plants of the Pacific Northwest 5: 123, 1955. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30826027.",flowering,,N,N,,Thompson,12613,J. William,19,8,1935,8/19/35,United States,Washington,Chelan,The Three Brothers Peak.,Alpine slopes.,,,,,47.43083,-120.75861,Y,,,,,,,,,,,,,,,,,,,,
146850,42b0622a-49e7-4d6d-b9ec-f53ed4c7437c,WTU,Vascular Plants,,4114JWT,,WTU-V-065507,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,J. William Thompson,10694,,18,6,1934,,U.S.A.,Washington,Kittitas,Along Boulder Creek.,Serpentine rock slides.,3500 ft.,1067,,,47.207938,-120.402164,Y,WGS 84,3000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146856,7a3c7c45-7848-4c13-b966-a4345529217f,WTU,Vascular Plants,,25483,,WTU-V-065506,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,J. William Thompson,10694,,18,6,1934,,U.S.A.,Washington,Kittitas,Along Boulder Creek.,Serpentine rock slides.,3500 ft.,1067,,,47.207938,-120.402164,Y,WGS 84,3000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
146883,c0665c21-0ab8-48bb-a4a2-db94c6122bd7,WTU,Vascular Plants,,4115JWT,,WTU-V-075482,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,J. William Thompson,10751,,21,6,1934,,U.S.A.,Washington,Chelan,At base of Three Brothers.,Rock slides.,3500 ft.,1067,,,47.43891,-120.74198,Y,WGS84,5000,WTU Staff,Georeferenced,,,,,,,,,,,,,,,,
4070722,2afb244e-207b-4b5f-848d-650618a838a8,WS,,,,93583,,WS015083,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Identified as Chaenactis nevadensis var. mainsiana (Nels. & Macbride) Stockwell in Contr. Dudley Herb. 3: 112. 1940. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30855449.,Flowering & Fruiting,,N,Y,,J. William Thompson,10694,,18,6,1934,,United States,Washington,Kittitas,"Along Bowlder Creek [Boulder Creek, Wenatchee Mountains].",Rocky serpentine slopes.,4000 ft,1219,,,47.207938,-120.40216,Y,WGS84,,,,,,,,,,,,,,,,,,,
146885,a035899d-710f-4abd-a1a5-c1fdcde07e75,WTU,Vascular Plants,,7287JWT,,WTU-V-075484,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,J. William Thompson,7658,,27,7,1931,27-31 July 1931,U.S.A.,Washington,Chelan,"Iron Mountain, Wenatchee Mountains.",Open rocky crest.,7000 ft.,2134,,,47.41222,-120.71417,Y,WGS 84,2000,WTU Staff,GeoLocate,,,,,,,,,,,,,,,,
4253640,{32508583-C965-4CF9-A1B3-17CCCF5EDD18},OSC,V,,,,,OSC27965,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,Https://oregonflora.org/collections/individual/index.php?occid=1010232.,flowering,,N,N,,James W. Thompson,7658,J. William Thompson,,7,1931,Day: 27-31,United States,Washington,Kittitas,Iron Mt. in Mt. Stuart region.,Open rocky crest.,7000 ft.,2134,,,,,,,,,,,,,,,,,,,,,,,,,
146881,bf47a9d5-a446-420a-93c0-76ab5e444d9d,WTU,Vascular Plants,,7542JWT,,WTU-V-075486,,,PreservedSpecimen,Asteraceae,Chaenactis thompsonii,Chaenactis thompsonii,,Chaenactis,,thompsonii,,,,,,,,,,,,,,,,,,,N,,,Flowers,,N,Y,,J. William Thompson,5822,,20,8,1930,,U.S.A.,Washington,Kittitas,"At head of Beverly Creek, Wenatchee Mountains.",Slate talus slopes.,6000 ft.,1829,,,47.410339,-120.883197,Y,WGS 84,5000,Jim Duemmel,Digital Map,,,,,,,,,,,,,,,,
