OccurrenceID,GUID,Herbarium,Accession,Family,Accepted Name,Specimen Notes,Phenology,Collector,Day Collected,Month Collected,Year Collected,State or Province,County,Locality,Site Description,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Valid LatLng,Geodetic Datum,Coordinate Uncertainty in Meters,Georeferenced By,Georeference Sources,Georeference Remarks
3553043,0a26532b-5cca-4ee6-9eb4-8acad947a97f,WTU,430330,Boraginaceae,Oreocarya thompsonii,Locally common on eastern ridge line; corollas white. ,Flowers,Brielle Cañares,29,6,2022,Washington,Kittitas,Okanogan-Wenatchee National Forest. Alpine Lakes Wilderness. Bean Peak from saddle east of peak to summit area and along ridge just north of peak; southwest ridge inaccessible and mostly bare rock.,"Mix of serpentine and ultramafic rock with Polystichum lemmonii, Elymus elymoides, Polemonium pulcherrimum and Pinus albicaulis common; soil generally poorly developed. ","47.42053° N,  120.86153° W",47.42053,-120.86153,Y,WGS 84,300,,Digital map,
3498782,e13eef95-8211-485d-acfa-dbc7e7fc9c42,WTU,425710,Boraginaceae,Oreocarya thompsonii,"White corolla, silvery leaves.",Flowers,Ava Kloss-Schmidt,6,7,2021,Washington,Kittitas,"Okanagon-Wenatche National Forest, Earl Peak.","Exposed ridge line and summit area with mixed geology: potentilla tweedy, erigeron compositus, polystichum sp., white bark pine.","47.40994° N,  120.64286° W",47.409564,-120.843697,Y,WGS 84,100,Jim Duemmel,GeoLocate,
4161645,c31ee49c-d7ce-4a91-916b-3393c0c74dd2,WS,,Boraginaceae,Oreocarya thompsonii,"Synonym = Cryptantha thompsonii; Flowers white. Nutlets rough on dorsal side, large open scar on ventral side. Local on lower slopes and amid serpentine rubble in old roadbed. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=31404137.",Flowering & Fruiting,Walter Fertig,24,6,2020,Washington,Chelan,"East Cascades Ecoregion: Wenatchee Mountains, ridge ca 2 air miles NW of Tip Top, ca 1 mile E of US Hwy 97 and Peshastin Creek, ca 14 air miles W of Wenatchee. T23N R18E S30 NE4 SW4 NW4.","Serpentine ridgetop with scattered Pinus ponderosa, Elymus spicatus, Lomatium thompsonii,Eriogonum compositum var. lancifolium, E. umbellatum var. hypoleium, Balsamorhiza careyana, and Aspidotis densa.",,47.461159,-120.644238,Y,WGS84,,,,
3258889,a4c57bf5-5e2d-4e23-8e4a-4a97241b2cfa,CIC,54482,Boraginaceae,Oreocarya thompsonii,,,D. H. Mansfield,11,6,2019,Washington,Kittitas,3.9 miles up Old Blewett Pass Hwy from Hwy 97 south of Blewett Pass,"On basaltic roadcut with Penstemon fruticosus, Purshia tridentata and Ipomopsis aggregata.","47.34787° N,  120.67449° W",47.34787,-120.67449,Y,WGS 84,,,Field Notes,
4163330,f36ad712-65f7-4206-990a-5cdf854b8d36,WS,,Boraginaceae,Oreocarya thompsonii,"Perennial, with many stems per plant. Scattered, ca 200 plants on slope. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=31644734.",Flowering & Fruiting,Walter Fertig,26,6,2019,Washington,Chelan,"East Cascades: Wenatchee Mountains, cliffs along FS Road 7201 on ridge 2 miles NW of Tip Top, 0.75 miles E of US Hwy 97, 13.5 miles west of Wenatchee. T23N R18E S30 SE4 SW4 NW4.","South-facing talus and gravel slopes below serpentine bedrock. Veg cover 5-10%. Dominated by Eriogonum compositum var. lancifolium, Eriogonum umbellatum var. hypoleium, Lomatium thompsonii, scattered Prunus, Purshia tridentata, and Phacelia hastata. Penstemon eriantherus var. whitedii, Aspidotis densa, Douglasia nivalis, Mentzelia laevicaulis.",,47.461033,-120.64505,Y,,,,,
185476,4d2d87d5-92c1-4878-88bc-7c577ef8d3bd,WTU,389959,Boraginaceae,Oreocarya thompsonii,"Locally common on dry, open slope; perennial; cespitose.",Flowers,David Giblin,17,6,2012,Washington,Kittitas,"Iron Creek Trail, approximately 1.0 kilometers from trailhead.",Southeast-facing gravelly slope and nearby ephemeral creek drainage.,"47.3583° N,  120.7181° W",47.3583,-120.7181,Y,WGS 84,500,,Digital map,
4135939,1572944f-cc38-49a1-8bc6-f66db7af6add,WS,,Boraginaceae,Oreocarya thompsonii,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30922187.,,Alexander J. Wright,29,6,2008,Washington,Kittitas,Navaho (sic) Pass.,"Reddish rock, facing S.",,47.4206,-120.8184,Y,,,,,
166583,6683493f-e826-4604-ac86-7b6881c0073a,WTU,371078,Boraginaceae,Oreocarya thompsonii,Flowers white. Uncommon. Roadside cut bank.,Flowers,Robert Goff,8,7,2006,Washington,Kittitas,Blewett Pass.,"On crest. Dry rocky soil. Slope gentle to 30 degree. Open forest, pine/fir. Associated plants; Pinus contorta, Pachystima myrsinites, Arctostaphylos nevadensis, Spiraea betulifolia.","47° 20.914' N,  120° 40.971' W",47.347869,-120.672979,Y,WGS 84,1000,Jim Duemmel,Digital Map,
166595,bea1657c-1df4-441f-91c1-ce2176b47cc2,WTU,371541,Boraginaceae,Oreocarya thompsonii,"Erect perennial, occasional, white flowers with yellow tube.",Flowers,Valerie Soza,7,7,2006,Washington,Kittitas,"Beverly Creek Trail, east of junction with Iron Mountain Trail.","Steep east southeast facing gravelly, sunny open slope. Abies lasiocarpa forest.","47° 25.28' N,  120° 54.01' W",47.421333,-120.900167,Y,,500,,,
166624,b0138acb-a492-44e7-8485-52a118518496,WTU,371048,Boraginaceae,Oreocarya thompsonii,"Corolla white, 8 millimeters diameter; stems in tufts; locally common.",Flowers,Ben Legler,9,7,2006,Washington,Kittitas,"Ingalls Lake Trail 1390. 1/8 mile north of junction with Longs Pass Trail, in National Forest Teanaway River drainage.","Dry west-facing loose rocky soil. Metamorphic rock with Anemone multifidum, Lupinus, Arctostaphylos nevadensis, scattered conifers.","47° 26.776' N,  120° 55.857' W",47.446267,-120.93095,Y,WGS 84,9,,,
114148,06fd8ef8-11e9-4c27-ba06-a5beefbe9af1,WTU,384083,Boraginaceae,Oreocarya thompsonii,"Corolla white, 8-11 mm across, with yellow center; stems in robust clumps, on scree and rock slope above road; locally common.",Flowers,Ben Legler,11,6,2005,Washington,Kittitas,Along FS Road 9715 0.1 mile west of Blewett Pass.,"Dry open south-facing slope above road in dry conifer forest; loose scree, sparsely vegetated.",47° 20' 52 N,47.347778,-120.673889,Y,NAD 27,,,,
3109289,cb40c194-b09a-413f-b0eb-0ceed51a64f2,WTU,407304,Boraginaceae,Oreocarya thompsonii,,Flowers and Fruits,Clayton Haberman,30,6,2001,Washington,Lincoln,Lake Roosevelt.,Sandy shore.,,48.122913,-118.228761,N,WGS 84,3143,Maria Yousoufian,Digital Map,
22734,85ff03e4-c186-4ee3-80c7-cd3a422b406b,WTU,349939,Boraginaceae,Oreocarya thompsonii,,Flowers,Richard G. Olmstead,4,7,2000,Washington,Kittitas,"Wenatchee National Forest. Beverly Creek headwaters, North Fork Teanaway River, between the Beverly creek/Turnpike creek pass and Iron Mt. gap.",On barren south facing shale scree slope.,T22N R15E S1,47.419573,-120.896989,Y,WGS 84,546,Richard Olmstead,Digital Map,
14947,0c85360a-2f49-495c-a73b-6c606e75a4d9,WTU,332657,Boraginaceae,Oreocarya thompsonii,,Flowers & Fruits,Maxine Hagen,15,5,1981,Washington,Chelan,"Tip Top, ca. 13 miles west of Wenatchee.",,,47.44032,-120.60854,Y,WGS84,700,WTU Staff,Georeferenced,
1723969,29a41602-b206-4c62-9dcf-d681a587a792,WWB,7644,Boraginaceae,Oreocarya thompsonii,,Flowers,R. J. Taylor,21,5,1966,Washington,Douglas,Near Orondo.,"Dry, sandy roadside.",,,,,,,,,
14948,63c8afaa-0639-40ef-8807-09f97d33e0c7,WTU,313381,Boraginaceae,Oreocarya thompsonii,Douglas fir type. n = 12.,Flowers & Fruits,A. R. Kruckeberg,6,7,1964,Washington,Kittitas,"Above DeRoux Forest Camp, North Fork Teanaway River.",Barren serpentine talus.,,47.417911,-120.93822,Y,WGS 84,1000,Jim Duemmel,Digital Map,
125723,08b58afc-0e6c-4ec4-994a-89ba12fb3e1d,WTU,313385,Boraginaceae,Oreocarya thompsonii,N=12.,Fertile,A. R. Kruckeberg,10,5,1964,Washington,Chelan,"Above Peshastin Creek, near Sheep Mountain, just above Highway 97.",Serpentine slope.,,47.51067,-120.631329,Y,WGS84,1000,WTU Staff,GeoLocate,
126080,662644f0-f5b6-4033-9b29-114fbc25a8c8,WTU,218051,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,20,7,1961,Washington,Chelan,"Upper slope of Three Brothers Peak, just below lookout, on trail to Etienne Creek. [Place name updated due to harmful language].","On talus of southeast-facing upper slope. Whitebark pine (krummholz"") forest type",,47.43891,-120.74198,Y,WGS84,,,,
125630,935834b5-d776-4783-a31e-fa7a809b698a,WTU,218050,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,30,7,1960,Washington,Chelan,Between Beverley-Turnpike divide and Iron Peak-Teanaway divide.,Steep treeless-shrubless east-southeast-facing talus of shale.,,47.42283,-120.900738,N,WGS 84,800,Jim Duemmel,Digital Map,
125634,d73c3c02-2f9e-426c-a4ce-4e5e8915e82c,WTU,219020,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,10,7,1960,Washington,Kittitas,"High ridge between Standup and Bean Creeks, surmounted by Earl Peak. North Fork Teanaway River drainage.","High ridge, on serpentine-peridotite parent material.",,47.394858,-120.875159,Y,WGS 84,10000,WTU Staff,GeoLocate,
125724,88ccdc5e-4512-48bd-b597-1eb6f366d035,WTU,217580,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,23,6,1960,Washington,Kittitas,Along trail to Koppen Park via Johnson Creek; slope extends to ridge overlooking north Fork of Teanaway River. Along Koppen Mountain ridge.,"Steep south-facing slope, sandstone parent material supporting open herb and shrub cover, especially Arctostaphylos nevadensis and Pachystima, near summit of talus slope.",T22N R15E S14 SW corner,47.391863,-120.932977,Y,WGS 84,600,Jim Duemmel,Digital Map,
125714,2125f4c9-ace9-4136-af9b-7a5165923003,WTU,154275,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,14,7,1951,Washington,Chelan,"Above King Creek, Blewett Pass Area, Wenatchee Mountains, along Etienne Creek. [Place name updated due to harmful language].","Barren serpentine slopes, with scattered ponderosa pine and Douglas fir.",,47.33556,-120.57778,Y,WGS84,10000,WTU Staff,GeoLocate,
126089,63c92fd3-60b7-47cd-a367-c421d6e841c4,WTU,144849,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,,8,1951,Washington,Chelan,"Betweeen Fourth Creek and Hardscrabble Creek, Wenatchee Mountains.",In rocky scree below the toothlike projection on high ridge.,,47.441743,-120.838854,Y,WGS84,10000,WTU Staff,GeoLocate,
4082545,9487b5bf-6f29-4138-a611-1c10c2fec3ed,WS,,Boraginaceae,Oreocarya thompsonii,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30867548.,flowering,A.R. Kruckeberg,14,7,1951,Washington,Chelan,"Above King Creek, Blewett Pass Area, Wenatchee Mountains, along [Etienne] Creek.",Barren serpentine slopes with scattered ponderosa pine and douglas fir.,,47.403268,-120.684426,Y,WGS84,,,,
125726,9cc99f3e-91b2-4d19-acc3-71e8c5c6d006,WTU,144837,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,,8,1950,Washington,Kittitas,At the head of Beverly Creek.,"On high ridge, in slick and slide serpentine. Exact type locality where I first collected it in 1930.",,47.372454,-120.877017,Y,WGS 84,10000,WTU Staff,GeoLocate,
134011,3f3d7a8a-e624-4193-baa2-3e82188edd0b,WTU,362771,Boraginaceae,Oreocarya thompsonii,,Flowers,A. R. Kruckeberg,10,8,1950,Washington,Kittitas,"Between Beaverly-Turnpike Trail and Iron Peak Trail, Wenatchee Mountains. [Label says Chelan County, but description appears to be in Kittitas].",On rocky (metamorphic) ridges.,,47.415131,-120.897625,Y,WGS 84,10000,David Giblin,Digital Map,
126087,18d71fb5-b65b-42ca-84c9-c54e33b0ecf6,WTU,45703,Boraginaceae,Oreocarya thompsonii,,Flowers,C. L. Hitchcock,12,6,1938,Washington,Kittitas,Above Liberty.,"Dry, open, serpentine knoll.",,47.25389,-120.66417,Y,WGS 84,10000,WTU Staff,GeoLocate,
125629,06e56f8b-b3af-438a-9793-d8fcb1fcd261,WTU,33287,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,22,6,1935,Washington,Chelan,Stuart Ridge.,Sandy yellow pine slopes.,,47.47024,-120.78503,Y,WGS84,13000,WTU Staff,Georeferenced,
125728,4056e49c-8df2-47f5-90f8-599478ca6783,WTU,1327JWT,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,22,6,1935,Washington,Chelan,Stuart Ridge.,Sandy yellow pine slopes.,,47.47024,-120.78503,Y,WGS84,13000,WTU Staff,Georeferenced,
3233790,df758908-c678-49f8-973d-90c4ee609d14,EWU,3792,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,18,5,1935,Washington,Kittitas,Near Liberty. ,Open rocky ridge.,,47.254202,-120.664953,Y,WGS 84,4000,Robert F. Steinauer,Google Earth,
125727,a187da3e-ec6b-495b-8ef9-6177d179085c,WTU,4850JWT,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,21,6,1934,Washington,Chelan,"Three Brothers, Wenatchee Mountains.",Upper alpine rocky slopes.,,47.43891,-120.74198,Y,WGS84,2000,WTU Staff,Georeferenced,
125729,83469d6b-c118-4938-9fe2-1c3ebfdd4377,WTU,4855JWT,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,12,5,1934,Washington,Kittitas,"Along Boulder Creek, Wenatchee Mountains.",Rock serpentine slopes.,,47.405467,-120.901699,Y,WGS 84,1995,David Giblin,Digital Map,
126091,964ee8c9-27db-4429-9323-eaac6e01b734,WTU,4843JWT,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,18,6,1934,Washington,Kittitas,"Along Boulder Creek, Wenatchee Mountains.",Serpentine rock slides.,,47.198258,-120.4389,Y,WGS 84,10000,WTU Staff,GeoLocate,
