scientific_name,datetime,description,place_guess,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,uncertainty,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated,OccurrenceID,GUID,Herbarium,Accession,Family,Specimen.Notes,Phenology,Collector,Day.Collected,Month.Collected,Year.Collected,State.or.Province,County,Locality,Site.Description,Verbatim.Coordinates,Valid.LatLng,Original.Geodetic.Datum,Georeferenced.By,Georeference.Sources,Georeference.Remarks,was_wgs84,FID,geometry
Androsace nivalis,2024-06-23 07:15:48 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/224741270,https://inaturalist-open-data.s3.amazonaws.com/photos/398361363/medium.jpg,summitfido,224741270,snow dwarf primrose,Plantae,1414075,1,0,2024-06-23 07:15:48-07:00,2024-06-23,2024-06-23 14:15:48 UTC,Pacific Time (US & Canada),3,3,,,false,,,5831764,,2024-06-23 21:15:21 UTC,2024-06-25 23:25:19 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9353466667, 47.4535366667)"
Androsace nivalis,2024-06-21 14:57:46 -0700,,"Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/224523806,https://inaturalist-open-data.s3.amazonaws.com/photos/397949977/medium.jpg,rainhead,224523806,snow dwarf primrose,Plantae,1414075,1,0,2024-06-21 14:57:46-07:00,2024-06-21,2024-06-21 21:57:46 UTC,Pacific Time (US & Canada),4,4,,,false,,,728554,Peter Abrahamsen,2024-06-23 00:14:08 UTC,2024-06-26 02:54:50 UTC,research,CC-BY,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9621214696, 47.4553061376)"
Androsace nivalis,2024-06-21 13:55:50 -0700,,"Kittitas County, US-WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/224523570,https://inaturalist-open-data.s3.amazonaws.com/photos/397949552/medium.jpg,rainhead,224523570,snow dwarf primrose,Plantae,1414075,1,0,2024-06-21 13:55:50-07:00,2024-06-21,2024-06-21 20:55:50 UTC,Pacific Time (US & Canada),4,4,,,false,,,728554,Peter Abrahamsen,2024-06-23 00:12:48 UTC,2024-06-26 02:54:50 UTC,research,CC-BY,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9532924669, 47.4508685879)"
Androsace nivalis,2024-06-08 12:33:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/221933328,https://inaturalist-open-data.s3.amazonaws.com/photos/393069390/medium.jpg,rammberg,221933328,Androsace nivalis,Plantae,1414075,1,0,2024/06/08 12:33 PM,2024-06-08,2024-06-08 19:33:00 UTC,Pacific Time (US & Canada),2,2,,,false,,,236267,Tynan Ramm-Granberg,2024-06-11 00:19:06 UTC,2024-06-13 19:52:42 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9212140641, 47.3611701181)"
Androsace nivalis,2024-06-05 12:07:16 -0700,,"Kittitas County, US-WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/221736414,https://static.inaturalist.org/photos/392703055/medium.jpg,tellimachris,221736414,snow dwarf primrose,Plantae,1414075,1,0,2024-06-05 12:07:16-07:00,2024-06-05,2024-06-05 19:07:16 UTC,Pacific Time (US & Canada),4,4,,,false,,,987296,Chris,2024-06-10 02:56:04 UTC,2024-06-13 19:49:20 UTC,research,,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8450176454, 47.4069149553)"
Androsace nivalis,2024-06-01 14:05:28 -0700,,"Okanogan - Wenatchee National Forest, Leavenworth, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/220131971,https://inaturalist-open-data.s3.amazonaws.com/photos/389774742/medium.jpg,shaheenpage,220131971,snow dwarf primrose,Plantae,1414075,1,0,2024-06-01 14:05:28-07:00,2024-06-01,2024-06-01 21:05:28 UTC,Pacific Time (US & Canada),21,21,,,false,,,1163438,Shaheen Page,2024-06-02 23:29:19 UTC,2024-12-11 15:27:01 UTC,research,CC0,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8570116667, 47.4323583333)"
Androsace nivalis,2024-05-31 19:15:34 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/219776355,https://inaturalist-open-data.s3.amazonaws.com/photos/389038867/medium.jpg,cascadecat,219776355,snow dwarf primrose,Plantae,1414075,1,0,2024-05-31 19:15:34-07:00,2024-05-31,2024-06-01 02:15:34 UTC,Pacific Time (US & Canada),4,4,,,false,,,1505543,,2024-06-01 16:34:35 UTC,2024-06-03 18:40:05 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8438716667, 47.4087116667)"
Androsace nivalis,2024-05-31 18:10:04 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/219776267,https://inaturalist-open-data.s3.amazonaws.com/photos/389038688/medium.jpg,cascadecat,219776267,snow dwarf primrose,Plantae,1414075,1,0,2024-05-31 18:10:04-07:00,2024-05-31,2024-06-01 01:10:04 UTC,Pacific Time (US & Canada),4,4,,,false,,,1505543,,2024-06-01 16:34:13 UTC,2024-06-03 18:40:40 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8463133333, 47.4128)"
Androsace nivalis,2024-05-25 14:17:08 -0700,Second of two plants found here ,"Okanogan - Wenatchee National Forest, Peshastin, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/218394539,https://inaturalist-open-data.s3.amazonaws.com/photos/386451919/medium.jpg,fish_narc,218394539,snow dwarf primrose,Plantae,1414075,1,0,2024-05-25 14:17:08-07:00,2024-05-25,2024-05-25 21:17:08 UTC,Pacific Time (US & Canada),5,5,,,false,,,3919424,,2024-05-26 15:30:52 UTC,2024-05-27 16:13:19 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.66082, 47.4091083333)"
Androsace nivalis,2024-05-25 14:08:13 -0700,One of two plants found at this location. Serpentine ,"Okanogan - Wenatchee National Forest, Peshastin, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/218393779,https://inaturalist-open-data.s3.amazonaws.com/photos/386450557/medium.jpg,fish_narc,218393779,snow dwarf primrose,Plantae,1414075,2,0,2024-05-25 14:08:13-07:00,2024-05-25,2024-05-25 21:08:13 UTC,Pacific Time (US & Canada),3,3,,,false,,,3919424,,2024-05-26 15:27:44 UTC,2024-05-27 21:23:21 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.6604833333, 47.4085916667)"
Androsace nivalis,2023-07-11 16:41:00 -0700,,"Kittitas, Washington, United States",,snow dwarf primrose,https://www.inaturalist.org/observations/183626380,https://inaturalist-open-data.s3.amazonaws.com/photos/320385993/medium.jpg,abr,183626380,snow dwarf primrose,Plantae,1414075,1,0,2023/07/11 4:41 PM,2023-07-11,2023-07-11 23:41:00 UTC,Pacific Time (US & Canada),9,9,,,false,,,19435,Amelia Ryan,2023-09-17 06:33:47 UTC,2023-10-03 00:04:33 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8005611111, 47.4195444444)"
Androsace nivalis,2023-07-11 14:36:00 -0700,,"Chelan County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/182909280,https://inaturalist-open-data.s3.amazonaws.com/photos/318869038/medium.jpg,abr,182909280,snow dwarf primrose,Plantae,1414075,1,0,2023/07/11 2:36 PM,2023-07-11,2023-07-11 21:36:00 UTC,Pacific Time (US & Canada),13,13,,,false,,,19435,Amelia Ryan,2023-09-12 05:21:32 UTC,2023-10-03 00:04:14 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.818025678, 47.4206286322)"
Androsace nivalis,2023-09-08 13:33:00 -0700,,"Chelan County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/182529988,https://static.inaturalist.org/photos/318265477/medium.jpeg,matt_mardigan,182529988,snow dwarf primrose,Plantae,1414075,1,0,2023/09/08 1:33 PM,2023-09-08,2023-09-08 20:33:00 UTC,Pacific Time (US & Canada),15,15,,,false,,,2944460,Matthew Below,2023-09-09 20:34:36 UTC,2023-10-03 00:04:01 UTC,research,,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-121.0328895282, 47.5594271646)"
Androsace nivalis,2023-07-12 14:24:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/175774830,https://inaturalist-open-data.s3.amazonaws.com/photos/305446729/medium.jpg,abr,175774830,snow dwarf primrose,Plantae,1414075,1,0,2023/07/12 2:24 PM,2023-07-12,2023-07-12 21:24:00 UTC,Pacific Time (US & Canada),3,3,,,false,,,19435,Amelia Ryan,2023-07-30 17:53:14 UTC,2023-07-30 19:37:55 UTC,research,CC-BY-NC,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9204777778, 47.4137805556)"
Androsace nivalis,2023-07-26 10:36:00 -0700,"Flowers passed, but common locally and still readily identified.","Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/175225489,https://inaturalist-open-data.s3.amazonaws.com/photos/304499240/medium.jpeg,jhorthos,175225489,snow dwarf primrose,Plantae,1414075,1,0,2023/07/26 10:36 AM,2023-07-26,2023-07-26 17:36:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2023-07-27 16:10:41 UTC,2025-01-28 15:53:34 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8174666667, 47.4161472222)"
Androsace nivalis,2023-07-12 16:15:16 -0700,,"Kittitas County, US-WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/172625266,https://inaturalist-open-data.s3.amazonaws.com/photos/299696210/medium.jpeg,mylodon,172625266,snow dwarf primrose,Plantae,1414075,1,0,2023-07-12 16:15:16,2023-07-12,2023-07-12 23:15:16 UTC,Pacific Time (US & Canada),8,8,,,false,gps,gps,3352889,,2023-07-13 04:29:50 UTC,2023-07-18 15:34:56 UTC,research,CC-BY-NC,NA,2,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.8183763921, 47.4206168902)"
Androsace nivalis,2023-06-15 12:29:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/167720413,https://inaturalist-open-data.s3.amazonaws.com/photos/290580150/medium.jpeg,jhorthos,167720413,snow dwarf primrose,Plantae,1414075,1,0,2023/06/15 12:29 PM,2023-06-15,2023-06-15 19:29:00 UTC,Pacific Time (US & Canada),16,16,,,false,,,1094975,James H. Thomas,2023-06-16 16:24:49 UTC,2023-06-16 16:32:12 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9623194444, 47.4561611111)"
Androsace nivalis,2023-06-15 14:57:35 -0700,,"Kittitas County, US-WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/167627555,https://inaturalist-open-data.s3.amazonaws.com/photos/290406508/medium.jpeg,brewbooks,167627555,snow dwarf primrose,Plantae,1414075,1,0,2023-06-15 14:57:35,2023-06-15,2023-06-15 21:57:35 UTC,Pacific Time (US & Canada),4,4,,,false,,,8641,John Brew,2023-06-16 01:14:20 UTC,2023-06-16 15:01:22 UTC,research,CC-BY,NA,2,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9622855639, 47.4559400389)"
Androsace nivalis,2022-08-26 17:36:00 -0700,On serpentine.,"Kittitas, Washington, United States",,snow dwarf primrose,https://www.inaturalist.org/observations/136341595,https://inaturalist-open-data.s3.amazonaws.com/photos/232635004/medium.jpeg,sheriff_woody_pct,136341595,snow dwarf primrose,Plantae,1414075,1,0,2022/08/26 5:36 PM,2022-08-26,2022-08-27 00:36:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,740297,Matt Berger,2022-09-24 21:41:37 UTC,2022-09-25 19:54:13 UTC,research,CC-BY,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9308611111, 47.4443555556)"
Androsace nivalis,2022-07-23 10:55:00 -0700,fairly common near Lake Ingalls Pass.,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/127693225,https://inaturalist-open-data.s3.amazonaws.com/photos/216812014/medium.jpeg,jhorthos,127693225,snow dwarf primrose,Plantae,1414075,1,0,2022/07/23 10:55 AM,2022-07-23,2022-07-23 17:55:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2022-07-24 16:02:26 UTC,2025-02-01 00:25:06 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9333805556, 47.4577305556)"
Androsace nivalis,2022-07-23 10:04:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/127692881,https://inaturalist-open-data.s3.amazonaws.com/photos/216811486/medium.jpeg,jhorthos,127692881,snow dwarf primrose,Plantae,1414075,1,0,2022/07/23 10:04 AM,2022-07-23,2022-07-23 17:04:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2022-07-24 16:00:11 UTC,2025-02-01 00:25:12 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9354027778, 47.4534333333)"
Androsace nivalis,2022-07-19 13:43:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/127123611,https://inaturalist-open-data.s3.amazonaws.com/photos/215777793/medium.jpeg,jhorthos,127123611,snow dwarf primrose,Plantae,1414075,1,0,2022/07/19 1:43 PM,2022-07-19,2022-07-19 20:43:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2022-07-20 18:21:30 UTC,2022-09-08 18:47:00 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9603888889, 47.4132472222)"
Androsace nivalis,2022-07-19 12:46:00 -0700,"flowers just passed, look purple","Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/127118886,https://inaturalist-open-data.s3.amazonaws.com/photos/215769426/medium.jpeg,jhorthos,127118886,snow dwarf primrose,Plantae,1414075,1,0,2022/07/19 12:46 PM,2022-07-19,2022-07-19 19:46:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2022-07-20 17:44:08 UTC,2025-02-01 01:29:18 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9672694444, 47.4194027778)"
Androsace nivalis,2022-07-13 15:43:49 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/126203827,https://inaturalist-open-data.s3.amazonaws.com/photos/214109310/medium.jpg,yideng,126203827,snow dwarf primrose,Plantae,1414075,1,0,2022-07-13 15:43:49-07:00,2022-07-13,2022-07-13 22:43:49 UTC,Pacific Time (US & Canada),22,22,,,false,,,5319243,,2022-07-14 14:02:10 UTC,2022-09-08 18:46:59 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9065148729, 47.4222497381)"
Androsace nivalis,2022-07-11 11:28:00 -0700,,"Kittitas County, WA, USA",,snow dwarf primrose,https://www.inaturalist.org/observations/125943206,https://inaturalist-open-data.s3.amazonaws.com/photos/213636009/medium.jpeg,jhorthos,125943206,snow dwarf primrose,Plantae,1414075,1,0,2022/07/11 11:28 AM,2022-07-11,2022-07-11 18:28:00 UTC,Pacific Time (US & Canada),4,4,,,false,,,1094975,James H. Thomas,2022-07-12 16:05:55 UTC,2025-02-01 17:14:01 UTC,research,CC0,NA,NA,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9154805556, 47.4197444444)"
Androsace nivalis,2022-07-10 10:54:42 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/125723319,https://inaturalist-open-data.s3.amazonaws.com/photos/213236810/medium.jpg,jareddodson,125723319,snow dwarf primrose,Plantae,1414075,1,0,2022-07-10 10:54:42-07:00,2022-07-10,2022-07-10 17:54:42 UTC,Pacific Time (US & Canada),8,8,,,false,,,3448676,,2022-07-11 02:20:11 UTC,2022-09-08 18:46:58 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9083716667, 47.4213366667)"
Androsace nivalis,2022-07-09 13:47:24 -0700,,"Okanogan - Wenatchee National Forest, Cle Elum, WA, US",,snow dwarf primrose,https://www.inaturalist.org/observations/125570092,https://inaturalist-open-data.s3.amazonaws.com/photos/212961043/medium.jpg,jareddodson,125570092,snow dwarf primrose,Plantae,1414075,1,0,2022-07-09 13:47:24-07:00,2022-07-09,2022-07-09 20:47:24 UTC,Pacific Time (US & Canada),3,3,,,false,,,3448676,,2022-07-10 07:13:25 UTC,2022-09-08 18:46:58 UTC,research,CC-BY-NC,NA,3,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"c(-120.9334633333, 47.4575533333)"
